Protein IDs	Peptide counts (razor+unique)	Unique peptides	Peptides Walker TMT16	Unique peptides Walker TMT16	Q-value	Score	Identification type Walker TMT16	Reporter intensity corrected 1 Walker TMT16	Reporter intensity corrected 2 Walker TMT16	Reporter intensity corrected 3 Walker TMT16	Reporter intensity corrected 4 Walker TMT16	Reporter intensity corrected 5 Walker TMT16	Reporter intensity corrected 6 Walker TMT16	Reporter intensity corrected 7 Walker TMT16	Reporter intensity corrected 8 Walker TMT16	Reporter intensity corrected 9 Walker TMT16	Reporter intensity corrected 10 Walker TMT16	Reporter intensity corrected 11 Walker TMT16	Reporter intensity corrected 12 Walker TMT16	Reporter intensity corrected 13 Walker TMT16	Reporter intensity corrected 14 Walker TMT16	Reporter intensity corrected 15 Walker TMT16	Reporter intensity corrected 16 Walker TMT16	Only identified by site	Reverse	Potential contaminant	Peptide IDs
AT1G01490.2;AT1G01490.1	1;1	1	1	1	0.0043183	6.0961	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12918
AT1G01510.1	3	3	3	3	0	28.14	By MS/MS	29820	27037	35708	28402	23972	19317	26126	20074	31842	27577	21882	30152	22539	32095	23183	28146				15206;15882;17878
AT4G01370.1;AT1G01560.2;AT1G01560.1	3;3;2	3	3	3	0	33.323	By MS/MS	15520	16483	14179	13192	13849	11818	10882	12826	13810	13968	12601	12019	11888	17925	13215	12955				11954;16305;21827
AT1G01610.1	5	2	5	2	0	47.422	By MS/MS	279060	293430	353090	342460	288540	268190	281030	233960	282340	280530	255460	293430	277070	344780	307120	257440				4592;6890;7138;20058;20967
AT1G01620.1;AT4G00430.1;AT1G01620.2;AT4G00430.2	4;1;2;0	3	6	3	0	32.493	By MS/MS	536640	521490	675550	636040	513290	493630	530640	461000	500910	489530	485550	500100	477990	597650	480430	479440				5501;7595;13420;15177;16785;19636
AT1G01710.1	1	1	1	1	0	18.468	By MS/MS	29944	33301	33109	27774	32409	33145	31000	33994	30790	30902	28235	26713	35217	33571	34528	30662				13710
AT1G01725.1	1	1	1	1	0.0050896	6.0148	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				13707
AT1G01730.1	1	1	1	1	0	19.745	By MS/MS	9541.4	9401	8657.3	9242.3	9472.8	8787.5	6692.3	8237.8	10179	8422.9	6346.8	8038.3	8284.8	9098.6	9337.3	9534.2				15890
AT2G45800.2;AT1G01780.1;AT3G61230.1;AT2G45800.1	1;1;1;1	1	1	1	0.0011176	7.0221	By MS/MS	54582	54157	73109	65759	39272	41025	44680	39330	55046	47408	51795	57995	41706	56881	41014	44108				19021
AT1G01790.1	19	16	19	16	0	305.15	By MS/MS	865700	802280	935690	935630	811250	843880	783990	792250	814500	847720	800840	813970	792280	856790	837410	759880				483;773;2930;3772;4222;5729;5972;6414;9435;9436;11125;11924;12361;12475;14752;16742;19482;19734;20247
AT1G01800.1;AT1G01800.2	7;7	7	8	7	0	76.735	By MS/MS	539340	535430	603770	587310	478630	500170	503440	523810	511930	514560	491890	521270	482150	548010	519110	491700				242;1691;7823;8708;9162;9777;10314;11194
AT1G01910.4;AT1G01910.2;AT1G01910.1;AT1G01910.5;AT1G01910.3	10;10;10;8;7	10	10	10	0	89.497	By MS/MS	387690	352810	398520	373330	330700	302570	345710	309070	344950	352660	309690	362070	316520	410110	356870	333440				46;3836;11472;12203;12437;13061;13523;17053;17764;21188
AT1G01940.1	1	1	1	1	0.00075988	9.4369	By MS/MS	35784	31824	37849	31997	27447	27680	30020	24126	33484	28940	28285	32795	27936	31995	31502	33328				18679
AT1G01960.1	4	4	4	4	0	29.755	By MS/MS	49360	48884	54065	50165	44659	41865	46996	47255	46281	47451	42333	41064	45693	53608	47939	43420				1619;3294;7779;14874
AT1G01970.1	1	1	1	1	0.0015284	6.801	By MS/MS	45924	37990	64366	48458	32278	33589	37342	29231	47763	40964	34791	55965	29207	40801	31499	34778				12355
AT1G01980.1	1	1	1	1	0.0013354	6.9893	By MS/MS	93691	99672	72995	72831	71573	67766	77679	86863	71881	78808	77639	70228	68707	79673	71312	83638				11731
AT1G02080.2;AT1G02080.1;REV__AT3G33530.1;REV__AT3G33530.2;REV__AT3G33530.3	5;5;1;1;1	5	5	5	0	46.679	By MS/MS	73913	76859	81040	77219	63688	58841	64317	68557	69614	73764	52816	62603	58793	82136	74257	68760				5385;13985;14152;14443;20930
AT1G02090.1;AT1G02090.2;AT1G02090.3	3;2;2	3	3	3	0	23.176	By MS/MS	83746	72446	110370	77218	57035	63758	75735	52698	78147	68736	69687	80122	60506	72465	63549	71095				4044;4045;5350
AT1G02120.1	3	3	3	3	0	37.093	By MS/MS	78724	68541	65125	69693	65152	62607	63787	66762	65915	70184	60497	58595	63190	72347	71843	60742				1459;11845;16223
AT1G02130.1	3	3	5	3	0	21.821	By MS/MS	150790	142190	166990	149220	138410	128460	137850	121440	136190	144940	118430	142410	127320	150500	144100	135290				664;1039;12161;13239;13706
AT1G02140.1	3	3	3	3	0	39.885	By MS/MS	8539.5	8720.2	11903	9743.8	9382	10640	13560	6962.8	9196.2	8791	9241.8	7906.3	7642.6	9568.9	9555.1	7466.3				64;6028;10311
AT1G02150.1	6	6	6	6	0	80.826	By MS/MS	434990	410580	486880	458140	394080	358760	380550	336170	384820	400760	321010	388180	380700	485750	458170	393460				7867;9896;11301;12639;20098;21024
AT1G02170.1	1	1	1	1	0	18.793	By MS/MS	24166	21745	22555	19442	16174	17258	17545	19825	20868	21059	17216	18490	18184	21253	18534	20812				8535
AT1G02205.1;AT1G02205.2;AT1G02205.3	1;1;1	1	1	1	0.0050958	6.0222	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				8581
AT1G02280.2;AT1G02280.1	2;2	2	2	2	0	12.265	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1318;11849
AT1G02305.1	2	2	2	2	0	32.438	By MS/MS	11002	11224	14226	10085	10467	8539.6	8388.7	8777.7	8778.9	10068	10208	11344	10724	11947	10866	9184				8588;16562
AT1G02410.1	1	1	1	1	0	18.811	By MS/MS	17754	17158	20848	19697	15857	15881	17070	17226	18918	19652	13725	16964	17803	24837	21010	15986				20557
AT1G02475.1	3	3	3	3	0	18.845	By MS/MS	39374	35619	44656	37892	31099	35009	42665	44158	35552	35915	30234	35501	34550	36075	32662	28557				16763;21133;21610
AT1G02500.2;AT1G02500.1	2;2	2	10	2	0	20.761	By MS/MS	466400	421380	513500	501180	405410	369700	415540	366700	431120	431580	376370	450410	403560	529780	460520	428320				981;2717;4830;7076;11297;13501;16422;17754;18227;18525;18683
AT1G02560.1	4	4	4	4	0	28.981	By MS/MS	689050	649220	761980	732360	665230	633260	633320	597270	629820	610280	570470	624740	638610	748130	722570	615190				1337;6185;9818;15855
AT1G02640.1	1	1	2	1	0.0080808	5.9456	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				8372;21221
AT1G02680.1	1	1	1	1	0	12.361	By MS/MS	16598	14812	16334	13944	10402	13939	13818	10418	13837	13750	13761	14295	11176	15243	13319	15104				17050
AT1G02780.1;AT4G02230.1	3;1	3	3	3	0	22.203	By MS/MS	99191	104540	131150	119700	97274	89543	100770	85750	111960	112650	95381	123440	91182	120990	116670	92134				8290;18437;20983
AT1G02820.1	1	1	1	1	0.00077821	10.438	By MS/MS	16390	21681	24626	23108	20030	27876	26076	24125	33402	29956	33573	26913	8311	11226	9871.3	10146				18194
AT1G02880.4;AT1G02880.1;AT1G02880.2;AT2G44750.1;AT2G44750.2;AT1G02880.3	2;2;2;2;2;2	2	2	2	0	15.673	By MS/MS	80402	78852	85367	82444	73049	66814	75645	78490	71431	69959	71096	73661	73417	78816	75776	69910				6510;10284
AT1G02910.1	7	7	7	7	0	75.863	By MS/MS	242520	233320	255450	241360	226310	220950	225800	226870	245890	236800	203710	215960	221050	255870	239660	226270				3511;3768;5256;6305;8701;11695;19918
AT1G02930.2;AT1G02930.1;AT1G02920.1	5;5;5	5	7	5	0	42.924	By MS/MS	425520	437040	110860	102720	104250	122410	96090	252490	107490	183620	144280	90456	104070	105090	151590	247610				13124;15830;19011;19573;20000;20067;20323
AT1G03000.1	2	2	2	2	0	21.248	By MS/MS	33745	29911	35188	31576	31008	26271	30369	26534	32046	32794	25052	32117	33241	37900	35623	30764				16130;20298
AT1G03030.1	2	2	2	2	0	13.345	By MS/MS	174410	165980	208310	178980	135080	131200	144910	131450	174730	160150	152340	153970	134260	153210	126040	153160				3904;17178
AT1G03090.1;AT1G03090.2	3;3	3	3	3	0	39.831	By MS/MS	14386	12107	13609	12630	11707	11164	12607	12264	12906	14565	11039	12132	11360	15101	13793	11664				14104;19694;21684
AT1G03140.1	1	1	1	1	0	18.833	By MS/MS	6491.2	5293.4	6809.9	6437.9	5248.4	4806.3	5287.3	5333.6	5583.2	5328.3	3095.2	5823	5538	7123.8	5743.6	5534.8				4731
AT1G03160.1;AT1G03160.2	14;12	14	14	14	0	129.42	By MS/MS	209400	204920	218000	211620	179440	176140	198640	187410	191750	197850	175340	198960	200350	204360	189670	196740				2703;3114;3312;5121;7068;11312;11313;12595;14561;15700;16552;18471;19098;19343
AT1G03220.1	3	3	6	3	0	38.614	By MS/MS	261830	260710	256540	249890	203290	203890	211770	222580	229500	228460	210170	207400	194730	260100	218840	239090				1290;3518;8873;9894;18608;19244
AT1G03230.1	9	6	9	6	0	84.128	By MS/MS	470870	478480	502710	482150	429110	419210	415350	462630	440000	447860	396370	407110	428260	484250	474300	429930				738;1290;3476;9895;10109;18423;18601;18608;19244
AT1G03280.1	1	1	1	1	0.00072029	7.9878	By MS/MS	2783.3	2753.6	2351.8	2259.3	1664.6	2606.9	1671.2	1854.6	1972.5	1662.7	1723.7	2379.6	2462.5	2158.8	1779.5	1641.5				7768
AT1G03310.2;AT1G03310.1	1;1	1	1	1	0	20.083	By MS/MS	60660	56610	67224	64784	55560	55529	55423	58810	63802	63198	61274	62011	52650	59880	56450	51966				16294
AT1G03330.1	1	1	1	1	0.00075548	9.1787	By MS/MS	8172.8	7851.6	9931.5	8138.6	6951.9	6214.1	5625.3	5567.2	8263.8	7372.6	6754.6	7411.2	5645.1	9377.8	8033.6	7740.4				3023
AT1G03350.1	2	2	2	2	0	49.858	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4107;20630
AT1G03370.1	2	2	2	2	0	21.49	By MS/MS	52546	47989	41433	40894	40659	38209	40957	42278	47396	45918	35916	36630	41554	48385	43995	42745				16045;20451
AT1G03400.1	2	2	2	2	0	20.947	By MS/MS	118650	111970	153950	112660	93781	88264	102960	104320	112570	103370	101770	104720	90163	104790	102880	95450				7569;8147
AT1G03430.1	1	1	1	1	0.00072851	8.182	By MS/MS	7416.3	6602.9	8968.6	7734.6	7022.5	7150.6	6729.4	5664.8	6164.2	6344.1	6283.4	7136.4	6064.4	6502.8	4684.8	5769.5				13712
